state,count,date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,percentage,Unnamed: 0,Year,ID,Name,Poverty Universe,Number in Poverty,90% Confidence Interval,Percent in Poverty,90% Confidence Interval.1
AK,7,2016,shot,gun,23.0,M,N,Anchorage,False,attack,Not fleeing,False,0.726895119418484,262,2016,2000,AK,723955,71916,"67,813 to 76,019",9.9,9.3 to 10.5
AL,25,2016,shot,gun,38.0,M,W,Phenix City,False,attack,Not fleeing,False,2.596053997923157,261,2016,1000,AL,4741355,814197,"796,927 to 831,467",17.2,16.8 to 17.6
AR,15,2016,shot,gun,33.0,M,W,Benton,False,other,Not fleeing,False,1.557632398753894,264,2016,5000,AR,2898653,497388,"485,180 to 509,596",17.2,16.8 to 17.6
AZ,50,2016,shot,gun,26.0,M,W,Phoenix,False,attack,Not fleeing,False,5.192107995846314,263,2016,4000,AZ,6771106,1107153,"1,086,482 to 1,127,824",16.4,16.1 to 16.7
CA,138,2016,shot,gun,31.0,M,H,Los Angeles,False,other,Not fleeing,False,14.330218068535824,265,2016,6000,CA,38513333,5527621,"5,475,835 to 5,579,407",14.4,14.3 to 14.5
CO,31,2016,shot,gun,24.0,M,W,Denver,False,attack,Not fleeing,False,3.219106957424714,266,2016,8000,CO,5420315,598378,"585,017 to 611,739",11.0,10.8 to 11.2
CT,4,2016,shot,knife,23.0,M,W,Fairfield,False,other,Not fleeing,False,0.4153686396677051,267,2016,9000,CT,3469517,342171,"330,966 to 353,376",9.9,9.6 to 10.2
DC,5,2016,shot,toy weapon,21.0,M,B,Washington,False,attack,Not fleeing,False,0.5192107995846313,269,2016,11000,DC,647652,119778,"113,591 to 125,965",18.5,17.5 to 19.5
DE,1,2016,shot,toy weapon,25.0,M,W,Frederica,False,other,Car,False,0.1038421599169262,268,2016,10000,DE,926860,109592,"104,742 to 114,442",11.8,11.3 to 12.3
FL,60,2016,shot,gun,22.0,M,W,Miami,False,attack,Not fleeing,False,6.230529595015576,270,2016,12000,FL,20191307,2986237,"2,947,397 to 3,025,077",14.8,14.6 to 15.0
GA,26,2016,shot,gun,25.0,M,B,Atlanta,False,attack,Not fleeing,False,2.699896157840083,271,2016,13000,GA,10040187,1612368,"1,586,263 to 1,638,473",16.1,15.8 to 16.4
HI,6,2016,shot,gun,25.0,M,O,Hilo,False,attack,Not fleeing,False,0.6230529595015576,272,2016,15000,HI,1389436,132597,"125,573 to 139,621",9.5,9.0 to 10.0
IA,5,2016,shot,gun,25.0,M,B,Boone,False,attack,Not fleeing,False,0.5192107995846313,276,2016,19000,IA,3031272,354429,"345,224 to 363,634",11.7,11.4 to 12.0
ID,6,2016,shot,gun,34.0,M,W,Boise,False,attack,Car,False,0.6230529595015576,273,2016,16000,ID,1652583,228037,"218,768 to 237,306",13.8,13.2 to 14.4
IL,26,2016,shot,gun,21.0,M,B,Chicago,False,attack,Foot,False,2.699896157840083,274,2016,17000,IL,12502043,1620974,"1,595,624 to 1,646,324",13.0,12.8 to 13.2
IN,14,2016,shot,knife,29.0,M,W,Indianapolis,False,attack,Not fleeing,False,1.453790238836968,275,2016,18000,IN,6432851,899168,"881,690 to 916,646",14.0,13.7 to 14.3
KS,10,2016,shot,gun,18.0,M,W,Hays,False,attack,Not fleeing,False,1.038421599169263,277,2016,20000,KS,2825887,343773,"333,475 to 354,071",12.2,11.8 to 12.6
KY,18,2016,shot,gun,34.0,M,W,Louisville,False,attack,Not fleeing,False,1.8691588785046729,278,2016,21000,KY,4298981,782779,"766,290 to 799,268",18.2,17.8 to 18.6
LA,19,2016,shot,gun,48.0,M,B,Baton Rouge,False,attack,Not fleeing,False,1.9730010384215992,279,2016,22000,LA,4546072,911970,"893,612 to 930,328",20.1,19.7 to 20.5
MA,12,2016,shot,gun,33.0,M,B,Boston,False,attack,Not fleeing,False,1.2461059190031152,282,2016,25000,MA,6574253,688366,"672,883 to 703,849",10.5,10.3 to 10.7
MD,15,2016,shot,gun,18.0,M,B,Baltimore,False,attack,Not fleeing,False,1.557632398753894,281,2016,24000,MD,5874987,572786,"559,536 to 586,036",9.7,9.5 to 9.9
ME,2,2016,shot,gun,29.0,M,O,Naples,False,attack,Not fleeing,False,0.2076843198338525,280,2016,23000,ME,1295968,159523,"153,218 to 165,828",12.3,11.8 to 12.8
MI,13,2016,shot,gun,43.0,M,W,Belleville,False,attack,Not fleeing,False,1.3499480789200415,283,2016,26000,MI,9702326,1449683,"1,430,043 to 1,469,323",14.9,14.7 to 15.1
MN,14,2016,shot,gun,33.0,M,W,Burnsville,False,attack,Not fleeing,False,1.453790238836968,284,2016,27000,MN,5396370,531789,"519,414 to 544,164",9.9,9.7 to 10.1
MO,21,2016,shot,gun,19.0,M,W,Kansas City,False,attack,Not fleeing,False,2.1806853582554515,286,2016,29000,MO,5911099,826358,"809,923 to 842,793",14.0,13.7 to 14.3
MS,8,2016,shot,gun,37.0,M,B,Tupelo,False,attack,Not fleeing,False,0.8307372793354102,285,2016,28000,MS,2892926,606873,"592,527 to 621,219",21.0,20.5 to 21.5
MT,5,2016,shot,gun,20.0,M,W,Billings,False,attack,Not fleeing,False,0.5192107995846313,287,2016,30000,MT,1018115,136439,"130,979 to 141,899",13.4,12.9 to 13.9
NC,33,2016,shot,gun,18.0,M,W,Charlotte,False,attack,Not fleeing,False,3.4267912772585665,294,2016,37000,NC,9885985,1523034,"1,498,821 to 1,547,247",15.4,15.2 to 15.6
ND,1,2016,shot,unarmed,42.0,M,W,Bismarck,False,undetermined,Foot,False,0.1038421599169262,295,2016,38000,ND,731713,76951,"72,578 to 81,324",10.5,9.9 to 11.1
NE,7,2016,shot,gun,22.0,M,W,Omaha,False,attack,Foot,False,0.726895119418484,288,2016,31000,NE,1851082,208864,"201,705 to 216,023",11.3,10.9 to 11.7
NH,2,2016,shot,gun,19.0,M,W,Claremont,True,attack,Car,False,0.2076843198338525,290,2016,33000,NH,1292241,97753,"92,007 to 103,499",7.6,7.2 to 8.0
NJ,12,2016,shot,gun,18.0,M,B,Newark,False,other,Not fleeing,False,1.2461059190031152,291,2016,34000,NJ,8769466,915390,"895,106 to 935,674",10.4,10.2 to 10.6
NM,21,2016,shot,gun,29.0,M,H,Albuquerque,False,attack,Not fleeing,False,2.1806853582554515,292,2016,35000,NM,2039432,390461,"380,077 to 400,845",19.1,18.6 to 19.6
NV,14,2016,shot,gun,22.0,M,H,Las Vegas,False,attack,Not fleeing,False,1.453790238836968,289,2016,32000,NV,2896890,407308,"394,452 to 420,164",14.1,13.7 to 14.5
NY,17,2016,shot,gun,32.0,M,B,New York,True,attack,Not fleeing,False,1.7653167185877467,293,2016,36000,NY,19230203,2843954,"2,812,221 to 2,875,687",14.8,14.6 to 15.0
OH,26,2016,shot,gun,26.0,M,B,Columbus,False,other,Not fleeing,False,2.699896157840083,296,2016,39000,OH,11287358,1639636,"1,614,177 to 1,665,095",14.5,14.3 to 14.7
OK,26,2016,shot,gun,43.0,M,W,Tulsa,False,attack,Not fleeing,False,2.699896157840083,297,2016,40000,OK,3809426,615050,"603,867 to 626,233",16.1,15.8 to 16.4
OR,15,2016,shot,gun,36.0,M,W,Bend,False,other,Not fleeing,False,1.557632398753894,298,2016,41000,OR,4016515,538169,"524,488 to 551,850",13.4,13.1 to 13.7
PA,22,2016,shot,gun,20.0,M,B,Philadelphia,False,attack,Not fleeing,False,2.284527518172378,299,2016,42000,PA,12368248,1589584,"1,565,866 to 1,613,302",12.9,12.7 to 13.1
RI,2,2016,shot,gun,24.0,M,B,Pawtucket,False,attack,Car,False,0.2076843198338525,300,2016,44000,RI,1015893,134683,"128,893 to 140,473",13.3,12.7 to 13.9
SC,17,2016,shot,gun,35.0,M,W,Piedmont,False,attack,Not fleeing,False,1.7653167185877467,301,2016,45000,SC,4820435,739574,"723,077 to 756,071",15.3,15.0 to 15.6
SD,4,2016,shot,gun,22.0,M,W,Rapid City,False,attack,Not fleeing,False,0.4153686396677051,302,2016,46000,SD,837301,107953,"103,265 to 112,641",12.9,12.3 to 13.5
